season,section,home,away,home_score,away_score,venue,date
2025-26,Round 18,Edinburgh,Connacht,5,26,Edinburgh Rugby Stadium,2026-05-15
2025-26,Round 18,Cardiff,Stormers,22,16,Cardiff Arms Park,2026-05-15
2025-26,Round 18,Ulster,Glasgow,22,26,"Ravenhill Stadium, Belfast",2026-05-15
2025-26,Round 18,Sharks,Zebre,54,19,"Kings Park Stadium, Durban",2026-05-16
2025-26,Round 18,Bulls,Benetton,45,19,"Loftus Versfeld Stadium, Pretoria",2026-05-16
2025-26,Round 18,Leinster,Ospreys,68,14,"Aviva Stadium, Dublin",2026-05-16
2025-26,Round 18,Scarlets,Dragons,35,35,"Parc y Scarlets, Llanelli",2026-05-16
2025-26,Round 18,Munster,Lions,24,17,"Thomond Park, Limerick",2026-05-16
2025-26,Quarter-finals,Glasgow,Connacht,33,21,"Scotstoun Stadium, Glasgow",2026-05-29
2025-26,Quarter-finals,Stormers,Cardiff,44,21,"Cape Town Stadium, Cape Town",2026-05-30
2025-26,Quarter-finals,Bulls,Munster,45,14,"Loftus Versfeld Stadium, Pretoria",2026-05-30
2025-26,Quarter-finals,Leinster,Lions,59,10,"Aviva Stadium, Dublin",2026-05-30
2025-26,Semi-finals,Leinster,Stormers,20,11,"Aviva Stadium, Dublin",2026-06-06
2025-26,Semi-finals,Glasgow,Bulls,21,22,"Murrayfield Stadium, Edinburgh",2026-06-06
2025-26,Grand Final,Leinster,Bulls,36,7,"Croke Park, Dublin",2026-06-19
