date,home,away,elo_home,elo_away,pred_margin,p_home_win,actual_margin,season
2022-01-08,Glasgow,Ospreys,0.7202175999999999,-1.0717018600000003,7.79191946,0.7097376305845938,19,2021-22
2022-01-08,Edinburgh,Cardiff,3.3011936,-1.5392400000000002,10.840433599999999,0.779001420360286,24,2021-22
2022-01-08,Munster,Ulster,4.5855621399999995,4.0718974,6.51366474,0.677945728125628,5,2021-22
2022-01-22,Lions,Sharks,2.25368,0.5595400000000001,7.694139999999999,0.7073583066897818,-10,2021-22
2022-01-22,Bulls,Stormers,-2.58414,-0.5176799999999999,3.93354,0.6098677906417387,-4,2021-22
2022-01-28,Ulster,Scarlets,4.223263874000001,-3.32567354,13.548937414000001,0.8317031863724677,12,2021-22
2022-01-28,Dragons,Benetton,-3.9140576000000005,-0.6659482400000001,2.7518906399999996,0.5773698914691452,0,2021-22
2022-01-29,Ospreys,Edinburgh,-2.1925099140000004,4.61715024,-0.8096601540000004,0.4771042380516668,4,2021-22
2022-01-29,Zebre,Munster,-11.88254536,4.434195665999999,-10.316741025999999,0.23218080525081602,-17,2021-22
2022-01-29,Sharks,Stormers,2.328954,0.2756740000000001,8.053279999999999,0.7160525783471832,0,2021-22
2022-01-29,Cardiff,Leinster,-2.8551966400000004,7.7223566,-4.57755324,0.3727233059725637,2,2021-22
2022-01-29,Connacht,Glasgow,2.28653926,1.841025654,6.445513606,0.6762107015276613,-22,2021-22
2022-01-29,Lions,Bulls,0.4842660000000003,-3.377494,9.86176,0.7578538301450521,-24,2021-22
2022-02-04,Ulster,Connacht,4.0683701326,-0.5580121006000001,10.626382233200001,0.7744685308908008,20,2021-22
2022-02-05,Stormers,Sharks,1.081002,1.5236260000000001,5.557376,0.6532612120923648,10,2021-22
2022-02-05,Bulls,Lions,0.008682000000000745,-2.9019100000000004,8.910592000000001,0.7362924728273056,8,2021-22
2022-02-11,Glasgow,Munster,4.6855770146,5.102521563399999,5.583055451200001,0.653933240348781,2,2021-22
2022-02-11,Leinster,Edinburgh,7.064601276,4.1361842246,8.9284170514,0.7367053550402776,19,2021-22
2022-02-12,Lions,Stormers,-2.8108508000000003,1.5252644000000002,1.6638847999999995,0.5469685537239337,-22,2021-22
2022-02-12,Bulls,Sharks,-0.08237719999999937,1.0793636000000002,4.8382591999999995,0.634253035074517,-7,2021-22
2022-02-18,Munster,Edinburgh,5.460827108519999,3.12902592974,8.331801178780001,0.7227089287527066,14,2021-22
2022-02-19,Scarlets,Connacht,-3.1707797986,-1.49537387728,4.324594078680001,0.6204674844666973,-6,2021-22
2022-02-19,Leinster,Ospreys,8.07175957086,-1.7115438986000004,15.78330346946,0.8685116577959773,22,2021-22
2022-02-19,Glasgow,Benetton,4.327271469479999,-0.3907591760000001,10.718030645479999,0.7764157480365284,10,2021-22
2022-02-20,Dragons,Ulster,-4.189246664000001,5.00573190928,-3.1949785732800002,0.4103696416208839,-12,2021-22
2022-02-25,Leinster,Lions,8.693429223913999,-5.17723928,19.870668503913997,0.9206219234610049,8,2021-22
2022-02-25,Zebre,Bulls,-12.5508712574,-1.2662031199999995,-5.2846681374000015,0.3539049200068559,-38,2021-22
