match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
24,2021-22,Round 4,Dragons,Stormers,10,24,Rodney Parade,2021-10-15,2.6666666666666665,21.333333333333332,18.666666666666668,6.0,0,-6.666666666666667,18.666666666666668,25.333333333333332,6.0,0,0.7920000000000003,0.0629999999999999,0.7290000000000003,9.333333333333334,0.0,1,0,0,-14,0
25,2021-22,Round 4,Ulster,Lions,26,10,Ravenhill Stadium,2021-10-15,19.666666666666668,33.0,13.333333333333334,7.0,0,-5.0,20.0,25.0,6.0,0,4.408,0.1769999999999997,4.231000000000001,24.666666666666668,1.0,1,0,0,16,1
26,2021-22,Round 4,Zebre,Glasgow,6,17,Stadio Sergio Lanfranchi,2021-10-16,-27.0,12.0,39.0,7.0,0,3.0,25.666666666666668,22.666666666666668,7.0,0,-6.840000000000001,0.0729999999999999,-6.913,-30.0,0.0,0,0,0,-11,0
27,2021-22,Round 4,Benetton,Ospreys,26,29,Stadio Comunale di Monigo,2021-10-16,-5.0,19.333333333333332,24.333333333333332,8.0,0,-2.0,19.333333333333332,21.333333333333332,8.0,0,-1.6880000000000002,-1.537,-0.15100000000000025,-3.0,0.0,0,0,0,-3,0
28,2021-22,Round 4,Leinster,Scarlets,50,15,RDS Arena,2021-10-16,21.666666666666668,27.0,5.333333333333333,7.0,0,-3.6666666666666665,23.666666666666668,27.333333333333332,6.0,0,4.2,-1.4729999999999994,5.673,25.333333333333336,1.0,0,0,0,35,1
29,2021-22,Round 4,Edinburgh,Bulls,17,10,Edinburgh Rugby Stadium,2021-10-16,1.0,24.333333333333332,23.333333333333332,7.0,0,-15.0,13.0,28.0,7.0,0,-0.393,-2.0420000000000003,1.6490000000000002,16.0,0.0,1,0,0,7,1
30,2021-22,Round 4,Munster,Connacht,20,18,Thomond Park,2021-10-16,23.666666666666668,39.666666666666664,16.0,6.0,0,0.6666666666666666,25.666666666666668,25.0,7.0,0,6.263,-0.8320000000000003,7.095000000000001,23.0,-1.0,0,0,0,2,1
31,2021-22,Round 4,Cardiff,Sharks,23,17,Cardiff Arms Park,2021-10-16,-0.6666666666666666,22.0,22.666666666666668,7.0,0,-7.333333333333333,22.666666666666668,30.0,8.0,0,-1.2580000000000002,0.0870000000000001,-1.3450000000000004,6.666666666666666,-1.0,1,0,0,6,1
32,2021-22,Round 5,Scarlets,Benetton,34,28,Parc y Scarlets,2021-10-22,-11.5,21.5,33.0,6.0,0,-4.5,21.0,25.5,6.0,0,-3.3057,-2.5729,-0.7327999999999997,-7.0,0.0,0,0,0,6,1
33,2021-22,Round 5,Glasgow,Leinster,15,31,Scotstoun Stadium,2021-10-22,5.0,23.5,18.5,6.0,0,25.0,32.75,7.75,6.0,0,1.0817,6.0327,-4.9510000000000005,-20.0,0.0,0,0,0,-16,0
34,2021-22,Round 5,Ospreys,Munster,18,10,Liberty Stadium,2021-10-23,-0.75,21.75,22.5,7.0,0,18.25,34.75,16.5,7.0,0,-0.6521000000000001,5.153499999999999,-5.805599999999999,-19.0,0.0,0,0,0,8,1
